committer.date,committer.date_first,committer.date_last,time,freq
1,2023-02-20,2023-02-20,1,1.0
1,2021-12-13,2021-12-13,1,1.0
1,2021-11-15,2021-11-15,1,1.0
1,2020-01-18,2020-01-18,1,1.0
1,2021-08-05,2021-08-05,1,1.0
1,2021-08-16,2021-08-16,1,1.0
1,2018-03-13,2018-03-13,1,1.0
1,2020-11-24,2020-11-24,1,1.0
1,2020-07-09,2020-07-09,1,1.0
1,2020-10-18,2020-10-18,1,1.0
1,2022-11-10,2022-11-10,1,1.0
1,2021-11-08,2021-11-08,1,1.0
1,2017-01-03,2017-01-03,1,1.0
1,2020-04-22,2020-04-22,1,1.0
1,2023-07-27,2023-07-27,1,1.0
1,2023-07-30,2023-07-30,1,1.0
1,2019-07-27,2019-07-27,1,1.0
1,2020-06-24,2020-06-24,1,1.0
1,2021-09-03,2021-09-03,1,1.0
1,2023-03-01,2023-03-01,1,1.0
1,2019-08-18,2019-08-18,1,1.0
1,2018-03-06,2018-03-06,1,1.0
1,2020-07-28,2020-07-28,1,1.0
1,2022-02-21,2022-02-21,1,1.0
1,2020-11-24,2020-11-24,1,1.0
1,2022-12-31,2022-12-31,1,1.0
1,2023-07-06,2023-07-06,1,1.0
1,2021-09-09,2021-09-09,1,1.0
1,2020-07-21,2020-07-21,1,1.0
1,2022-10-13,2022-10-13,1,1.0
1,2024-02-05,2024-02-05,1,1.0
1,2020-01-10,2020-01-10,1,1.0
1,2018-04-07,2018-04-07,1,1.0
1,2021-09-11,2021-09-11,1,1.0
1,2020-09-12,2020-09-12,1,1.0
1,2020-01-17,2020-01-17,1,1.0
1,2023-12-08,2023-12-08,1,1.0
1,2024-03-18,2024-03-18,1,1.0
1,2018-06-22,2018-06-22,1,1.0
1,2019-04-04,2019-04-04,1,1.0
1,2023-06-12,2023-06-12,1,1.0
1,2023-10-02,2023-10-02,1,1.0
1,2020-05-07,2020-05-07,1,1.0
1,2023-08-03,2023-08-03,1,1.0
1,2022-06-29,2022-06-29,1,1.0
1,2020-06-29,2020-06-29,1,1.0
1,2018-03-29,2018-03-29,1,1.0
1,2016-10-26,2016-10-26,1,1.0
1,2021-10-16,2021-10-16,1,1.0
1,2022-10-05,2022-10-05,1,1.0
1,2023-09-12,2023-09-12,1,1.0
1,2020-09-03,2020-09-03,1,1.0
1,2021-09-06,2021-09-06,1,1.0
1,2021-02-04,2021-02-04,1,1.0
1,2020-05-29,2020-05-29,1,1.0
1,2024-03-13,2024-03-13,1,1.0
1,2019-07-30,2019-07-30,1,1.0
1,2017-12-18,2017-12-18,1,1.0
1,2018-03-12,2018-03-12,1,1.0
1,2019-10-31,2019-10-31,1,1.0
1,2021-10-12,2021-10-12,1,1.0
1,2020-09-30,2020-09-30,1,1.0
1,2023-04-24,2023-04-24,1,1.0
1,2016-10-25,2016-10-25,1,1.0
1,2018-12-03,2018-12-03,1,1.0
1,2024-04-25,2024-04-25,1,1.0
1,2022-10-02,2022-10-02,1,1.0
1,2022-02-23,2022-02-23,1,1.0
1,2023-05-02,2023-05-02,1,1.0
1,2021-06-05,2021-06-05,1,1.0
1,2020-08-30,2020-08-30,1,1.0
1,2018-10-28,2018-10-28,1,1.0
1,2023-06-09,2023-06-09,1,1.0
1,2017-12-06,2017-12-06,1,1.0
1,2023-06-10,2023-06-10,1,1.0
1,2021-06-16,2021-06-16,1,1.0
1,2023-07-23,2023-07-23,1,1.0
1,2020-03-16,2020-03-16,1,1.0
1,2024-06-05,2024-06-05,1,1.0
1,2020-04-17,2020-04-17,1,1.0
1,2023-07-07,2023-07-07,1,1.0
1,2017-07-09,2017-07-09,1,1.0
1,2017-07-08,2017-07-08,1,1.0
1,2021-07-06,2021-07-06,1,1.0
1,2017-05-06,2017-05-06,1,1.0
1,2021-07-02,2021-07-02,1,1.0
1,2019-12-05,2019-12-05,1,1.0
1,2016-10-26,2016-10-26,1,1.0
1,2022-09-22,2022-09-22,1,1.0
1,2021-07-25,2021-07-25,1,1.0
1,2019-10-13,2019-10-13,1,1.0
1,2022-07-13,2022-07-13,1,1.0
1,2017-09-12,2017-09-12,1,1.0
1,2019-11-25,2019-11-25,1,1.0
1,2021-03-11,2021-03-11,1,1.0
1,2020-01-19,2020-01-19,1,1.0
1,2022-05-24,2022-05-24,1,1.0
1,2020-02-08,2020-02-08,1,1.0
1,2022-04-21,2022-04-21,1,1.0
1,2022-02-05,2022-02-05,1,1.0
1,2023-09-21,2023-09-21,1,1.0
1,2022-02-18,2022-02-18,1,1.0
1,2016-10-26,2016-10-26,1,1.0
1,2022-11-09,2022-11-09,1,1.0
1,2018-05-17,2018-05-17,1,1.0
1,2018-09-04,2018-09-04,1,1.0
1,2024-02-26,2024-02-26,1,1.0
1,2022-05-21,2022-05-21,1,1.0
1,2020-07-19,2020-07-19,1,1.0
1,2019-05-27,2019-05-27,1,1.0
1,2023-12-06,2023-12-06,1,1.0
1,2023-10-09,2023-10-09,1,1.0
1,2023-12-02,2023-12-02,1,1.0
1,2021-03-22,2021-03-22,1,1.0
1,2023-08-21,2023-08-21,1,1.0
1,2022-04-27,2022-04-27,1,1.0
1,2020-09-20,2020-09-20,1,1.0
1,2022-08-05,2022-08-05,1,1.0
1,2023-12-27,2023-12-27,1,1.0
1,2023-06-24,2023-06-24,1,1.0
1,2024-05-06,2024-05-06,1,1.0
1,2023-04-14,2023-04-14,1,1.0
1,2023-06-23,2023-06-23,1,1.0
1,2020-01-07,2020-01-07,1,1.0
1,2023-09-24,2023-09-24,1,1.0
1,2022-05-22,2022-05-22,1,1.0
1,2023-08-09,2023-08-09,1,1.0
1,2023-03-17,2023-03-17,1,1.0
1,2023-06-29,2023-06-29,1,1.0
1,2022-08-15,2022-08-15,1,1.0
1,2023-07-06,2023-07-06,1,1.0
1,2024-06-03,2024-06-03,1,1.0
1,2022-02-18,2022-02-18,1,1.0
1,2021-02-24,2021-02-24,1,1.0
1,2022-02-06,2022-02-06,1,1.0
1,2022-03-21,2022-03-21,1,1.0
1,2023-03-23,2023-03-23,1,1.0
1,2022-08-01,2022-08-01,1,1.0
1,2021-03-19,2021-03-19,1,1.0
1,2020-01-24,2020-01-24,1,1.0
1,2021-12-12,2021-12-12,1,1.0
1,2018-07-05,2018-07-05,1,1.0
1,2024-06-02,2024-06-02,1,1.0
1,2024-01-06,2024-01-06,1,1.0
1,2024-04-04,2024-04-04,1,1.0
1,2024-05-20,2024-05-20,1,1.0
1,2017-07-13,2017-07-13,1,1.0
1,2023-10-19,2023-10-19,1,1.0
1,2024-04-22,2024-04-22,1,1.0
1,2021-11-19,2021-11-19,1,1.0
1,2021-06-30,2021-06-30,1,1.0
1,2019-04-30,2019-04-30,1,1.0
1,2021-12-16,2021-12-16,1,1.0
1,2017-12-13,2017-12-13,1,1.0
1,2020-05-18,2020-05-18,1,1.0
1,2018-08-29,2018-08-29,1,1.0
1,2023-08-20,2023-08-20,1,1.0
1,2020-03-24,2020-03-24,1,1.0
1,2022-01-27,2022-01-27,1,1.0
1,2017-07-11,2017-07-11,1,1.0
1,2020-05-15,2020-05-15,1,1.0
1,2017-09-30,2017-09-30,1,1.0
1,2022-09-29,2022-09-29,1,1.0
1,2023-02-23,2023-02-23,1,1.0
1,2021-01-25,2021-01-25,1,1.0
1,2021-08-08,2021-08-08,1,1.0
1,2018-06-06,2018-06-06,1,1.0
1,2023-07-09,2023-07-09,1,1.0
1,2024-01-03,2024-01-03,1,1.0
1,2024-05-07,2024-05-07,1,1.0
1,2023-09-12,2023-09-12,1,1.0
1,2019-12-24,2019-12-24,1,1.0
1,2022-04-25,2022-04-25,1,1.0
1,2020-06-24,2020-06-24,1,1.0
1,2024-04-03,2024-04-03,1,1.0
1,2021-11-03,2021-11-03,1,1.0
1,2024-01-03,2024-01-03,1,1.0
1,2022-10-26,2022-10-26,1,1.0
1,2022-08-05,2022-08-05,1,1.0
1,2022-02-06,2022-02-06,1,1.0
1,2020-12-28,2020-12-28,1,1.0
1,2023-09-03,2023-09-03,1,1.0
1,2023-02-24,2023-02-24,1,1.0
1,2022-05-22,2022-05-22,1,1.0
1,2021-05-24,2021-05-24,1,1.0
1,2020-05-28,2020-05-28,1,1.0
1,2020-03-13,2020-03-13,1,1.0
1,2023-09-01,2023-09-01,1,1.0
