,name,size
0,.alexignore,45
1,.alexrc,315
2,.cargo,0
3,.config,0
4,.devcontainer,0
5,.eslintignore,1539
6,.eslintrc.json,10889
7,.git-blame-ignore-revs,569
8,.gitattributes,191
9,.github,0
10,.gitignore,576
11,.husky,0
12,.node-version,4
13,.npmrc,133
14,.prettierignore,1795
15,.prettierrc.json,69
16,.rustfmt.toml,192
17,.vscode,0
18,CODE_OF_CONDUCT.md,3298
19,Cargo.lock,214470
20,Cargo.toml,4317
21,UPGRADING.md,252
22,azure-pipelines.yml,6461
23,bench,0
24,contributing.md,1462
25,contributing,0
26,docs,0
27,errors,0
28,examples,0
29,jest.config.js,1763
30,jest.replay.config.js,635
31,lerna.json,332
32,license.md,1079
33,lint-staged.config.js,306
34,package.json,10778
35,packages,0
36,patches,0
37,pnpm-lock.yaml,911833
38,pnpm-workspace.yaml,85
39,readme.md,23
40,release.js,3695
41,run-tests.js,23161
42,rust-toolchain.toml,98
43,scripts,0
44,socket.yaml,298
45,test-file.txt,33
46,test,0
47,tsconfig-tsec.json,146
48,tsconfig.json,814
49,tsec-exemptions.json,972
50,turbo.json,415
51,turbo,0
52,vercel.json,73
