,Contributors,Commit Times
2016-10,23,174
2016-11,37,228
2016-12,54,446
2017-01,79,601
2017-02,101,783
2017-03,123,908
2017-04,143,1030
2017-05,177,1178
2017-06,199,1312
2017-07,234,1443
2017-08,248,1496
2017-09,265,1533
2017-10,290,1632
2017-11,320,1680
2017-12,345,1740
2018-01,354,1781
2018-02,392,1908
2018-03,413,1990
2018-04,423,2041
2018-05,456,2156
2018-06,478,2228
2018-07,491,2273
2018-08,505,2359
2018-09,536,2498
2018-10,561,2591
2018-11,590,2704
2018-12,617,2818
2019-01,636,2927
2019-02,663,3078
2019-03,688,3262
2019-04,718,3514
2019-05,743,3655
2019-06,752,3764
2019-07,788,3960
2019-08,816,4129
2019-09,834,4270
2019-10,867,4441
2019-11,881,4589
2019-12,892,4758
2020-01,944,5017
2020-02,960,5206
2020-03,1006,5454
2020-04,1058,5716
2020-05,1146,6119
2020-06,1187,6365
2020-07,1235,6600
2020-08,1287,6846
2020-09,1321,6983
2020-10,1348,7177
2020-11,1403,7420
2020-12,1439,7564
2021-01,1503,7785
2021-02,1533,7887
2021-03,1564,8055
2021-04,1600,8236
2021-05,1632,8380
2021-06,1681,8621
2021-07,1736,8833
2021-08,1775,9054
2021-09,1807,9285
2021-10,1846,9681
2021-11,1904,10007
2021-12,1941,10199
2022-01,1992,10406
2022-02,2067,10719
2022-03,2093,10905
2022-04,2130,11121
2022-05,2190,11393
2022-06,2234,11700
2022-07,2277,12020
2022-08,2331,12328
2022-09,2375,12714
2022-10,2430,13241
2022-11,2484,13590
2022-12,2514,13880
2023-01,2560,14259
2023-02,2608,14740
2023-03,2658,15214
2023-04,2690,15596
2023-05,2711,15967
2023-06,2789,16434
2023-07,2849,16809
2023-08,2912,17259
2023-09,2972,17731
2023-10,3023,18250
2023-11,3062,18607
2023-12,3103,18891
2024-01,3166,19429
2024-02,3223,19865
2024-03,3272,20315
2024-04,3327,20717
2024-05,3372,21090
2024-06,3386,21219
