created_at,closed_at,timeSolve
2016-10-06,2016-10-06,0
2016-10-06,2016-10-06,0
2016-10-06,2016-10-06,0
2016-10-07,2016-10-10,3
2016-10-12,2016-10-13,1
2016-10-13,2016-10-15,2
2016-10-14,2016-10-15,1
2016-10-15,2016-10-17,2
2016-10-15,2016-10-16,1
2016-10-15,2016-10-15,0
2016-10-16,2016-10-17,1
2016-10-16,2016-12-29,74
2016-10-16,2016-11-23,38
2016-10-16,2016-12-19,64
2016-10-16,2016-12-06,51
2016-10-16,2016-12-19,64
2016-10-16,2017-05-13,209
2016-10-16,2016-12-28,73
2016-10-16,2016-10-25,9
2016-10-16,2016-12-28,73
2016-10-16,2016-10-17,1
2016-10-16,2016-10-16,0
2016-10-16,2016-10-17,1
2016-10-16,2016-10-16,0
2016-10-16,2016-10-16,0
2016-10-16,2016-10-16,0
2016-10-16,2016-10-26,10
2016-10-17,2016-10-29,12
2016-10-17,2016-10-25,8
2016-10-17,2016-10-17,0
2016-10-17,2016-11-03,17
2016-10-17,2016-10-17,0
2016-10-17,2016-10-17,0
2016-10-17,2016-10-17,0
2016-10-18,2016-10-25,7
2016-10-18,2016-10-25,7
2016-10-20,2017-01-07,79
2016-10-20,2016-10-21,1
2016-10-22,2016-10-25,3
2016-10-24,2016-12-29,66
2016-10-25,2016-12-26,62
2016-10-25,2016-10-26,1
2016-10-25,2016-10-26,1
2016-10-25,2016-11-04,10
2016-10-25,2016-10-25,0
2016-10-25,2016-10-26,1
2016-10-25,2016-10-25,0
2016-10-25,2017-01-08,75
2016-10-25,2016-12-29,65
2016-10-25,2016-12-17,53
2016-10-25,2016-10-26,1
2016-10-25,2016-10-25,0
2016-10-25,2016-10-26,1
2016-10-25,2016-10-26,1
2016-10-25,2016-10-26,1
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-25,2016-10-26,1
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-25,2016-12-02,38
2016-10-25,2016-10-26,1
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-25,2016-10-26,1
2016-10-25,2016-10-25,0
2016-10-25,2016-10-25,0
2016-10-26,2016-10-28,2
2016-10-26,2016-10-29,3
2016-10-26,2016-12-02,37
2016-10-26,2016-10-28,2
2016-10-26,2017-02-09,106
2016-10-26,2016-10-26,0
2016-10-26,2016-10-26,0
2016-10-26,2017-01-15,81
2016-10-26,2017-01-05,71
2016-10-26,2016-12-02,37
2016-10-26,2017-01-15,81
2016-10-26,2016-12-08,43
2016-10-26,2016-10-27,1
2016-10-26,2017-02-05,102
2016-10-26,2017-02-25,122
2016-10-26,2018-04-12,533
