created_at,merged_at,merged,time
2024-04-03 07:04:57+00:00,,False,
2024-04-03 07:04:55+00:00,,False,
2024-04-03 05:58:23+00:00,,False,
2024-04-03 05:19:04+00:00,2024-04-08 06:24:18+00:00,True,5.0
2024-04-03 04:00:44+00:00,,False,
2024-04-03 03:31:03+00:00,2024-04-04 14:56:10+00:00,True,1.0
2024-04-03 03:15:06+00:00,2024-04-03 15:08:28+00:00,True,0.0
2024-04-03 02:34:59+00:00,2024-04-03 16:03:59+00:00,True,0.0
2024-04-02 21:58:17+00:00,2024-04-02 22:31:31+00:00,True,0.0
2024-04-02 21:35:03+00:00,2024-04-02 22:30:13+00:00,True,0.0
2024-04-02 20:15:39+00:00,,False,
2024-04-02 19:41:43+00:00,2024-04-02 20:20:03+00:00,True,0.0
2024-04-02 16:38:42+00:00,2024-04-02 16:57:01+00:00,True,0.0
2024-04-02 15:45:29+00:00,2024-04-02 18:25:12+00:00,True,0.0
2024-04-02 15:33:25+00:00,2024-04-02 21:11:47+00:00,True,0.0
2024-04-02 14:55:29+00:00,2024-04-02 21:32:52+00:00,True,0.0
2024-04-02 13:29:20+00:00,,False,
2024-04-02 12:51:35+00:00,2024-04-03 10:16:20+00:00,True,0.0
2024-04-02 09:52:56+00:00,,False,
2024-04-02 08:43:29+00:00,2024-04-18 20:54:07+00:00,True,16.0
2024-04-02 08:38:35+00:00,2024-04-03 11:09:09+00:00,True,1.0
2024-04-02 07:04:45+00:00,,False,
2024-04-02 07:04:45+00:00,2024-04-02 07:29:52+00:00,True,0.0
2024-04-01 23:23:15+00:00,2024-04-02 18:40:28+00:00,True,0.0
2024-04-01 21:07:08+00:00,2024-04-01 22:00:41+00:00,True,0.0
2024-04-01 18:28:18+00:00,,False,
2024-04-01 18:05:52+00:00,2024-04-01 20:15:43+00:00,True,0.0
2024-04-01 18:00:38+00:00,,False,
2024-04-01 16:09:50+00:00,2024-04-01 16:43:18+00:00,True,0.0
